output,grammaticality
john was struck by bill 's idiocy .,Yes
there were several old rocks songs that she and i were the only two who knew .,Yes
Anson demonized,No
so fast did he run that nobody could catch him .,Yes
How fierce the battle?,No
"This is the book which Bob reviewed, and this is the one which Fred won't do it.",No
to steal talismans from witches is dangerous,Yes
they preferred them arrested .,Yes
we gave ourselves to the cause .,Yes
Kim put in the box.,No
John has not kissed Mary.,Yes
Mary believes that Bill saw himself.,Yes
Under the bed seems to be a fun place to hide.,Yes
chris dreads the bucket .,Yes
Which pictures of himself does John like?,Yes
the love of my life and mother of my children would never do such a thing .,Yes
Gwen hit the baseball.,Yes
lee saw the student with a telescope .,Yes
Park Square has a festive air.,Yes
"chris walks , pat eats broccoli , and sandy plays squash .",Yes
How sane is Peter?,Yes
"Because she's so pleasant, as for Mary I really like her.",No
Everyone hopes everyone to sleep.,No
Everybody around here who ever buys anything on credit talks in his sleep.,Yes
few dog barked .,No
