output,context,fact,engaging,overall,maintains context,natural,understandable,uses knowledge
"sounds fun ! i just finished moving into my first home .
","hey ! i'm george , what is your name ?
i'm todd hicks . it is good to meet you .
nice to meet you ! what do you do ?
i work on a freelance basis as an author , blogger and affiliate marketer . and you ?
oh interesting ! i work with bees . . as a farmer !
do you grow crops too ?
nop . . i should since i love papaya ! are you married ?
no , i am single . are you single or are you married ?
i'm married ! . . my lady is a top model from italy ! i aimed high hehe
have you ever been to italy ?
not yet , it i love to travel . . have you ?
no . i'd like to go there someday though .
yep , i was visiting my sis in spain last month , it is nice
","your persona: i work at a school.
your persona: a already have a step children.
your persona: i just moved into my first home.
your persona: i recently moved to this country.
",3,5,3,3,1,1
"cool . my motorbike is red with a blue stripe . it looks shiny when i race !
","hi ! do you have a house in the clouds ?
no but i'd love to get one
i do . do you have any superpowers ?
nice ! when i wear my motorbike helmet i do feel like a super hero sometimes
can you make time stop while wearing your helmet ?
i wish i could but i cant . do you have a motorbike ?
no , i have a pink bike though .
","your persona: i wear a motorbike helmet to protect my head.
your persona: my main transportation is my motorbike.
your persona: i've light skin with big brown eyes.
your persona: its red with blue stripe so it shiny when i race.
",3,5,3,3,1,1
"it really is . i quit my job to pursue my buddhist spirituality full time .
","i just got back from my salsa dance lessons
that sounds like a really fun time . i was just meditating
that is so relaxing . my lite brite patterns are relaxing too
","your persona: i quit my job to pursue my spirituality full time.
your persona: i'm a buddhist.
your persona: i have not spoken in three months.
your persona: i like meditation.
your persona: i live in alaska.
",3,5,3,3,1,1
"i love cats ! what do you do ? i'm currently in high school and i make straight as !
","there'sn'thing i like more than a late night ice cream run
hey share the cream ! haha
do you have a flavor preference ? mine is vanilla
vanilla is my fav as well
my two cats love to lick the bowl when i am done haha
","your persona: my current goal is to run a k.
your persona: when i grow up i want to be a physical therapist.
your persona: i'm currently in high school.
your persona: i make straight as in school.
your persona: i won homecoming queen this year.
",3,5,3,3,1,1
"pretty good . i just turned 18 yesterday .
","hello , how are you doing today ?
","your persona: i just broke up with boyfriend two months ago.
your persona: i have a pet fish.
your persona: my favorite color is orange.
your persona: i turned 18 years old yesterday.
",3,5,3,3,1,1
"i don't have pets . i'm retired now and just living my best life !
","good morning how old are you i am 34
i am much older than that . my grandchildren are in their thirties
do you have any pets ? my two dogs are my everything .
","your persona: i have amazing children and grandchildren.
your persona: i had cancer but its gone now.
your persona: i do not have a smartphone.
your persona: i am retired and living the great life.
",3,5,3,3,1,1
"maybe i'll take go for a walk and get a burger after .
","hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub
","your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.
",3,5,3,3,1,1
"sorry to hear that ! my boyfriend lost his mom at a young age too !
","hello . my softball game was canceled due to the hurricane .
oh how are you doing ? i'm sorry to hear that .
doing great . daddy was in the army , he taught me things .
i once lived in my moms house .
mine passed when i was eight .
","your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i live in a house.
your persona: i like to eat hamburgers and french fries.
",3,5,3,3,1,1
"wow skydiving sounds fun ! i enjoy reading journals about psychology and i love to kayak !
","hi ! how are you ? i just moved from germany to usa , nice place so far !
that's great , i am a grad student
do you have any hobbies ? i really love sky diving , rollercoasters and cooking shows !
","your persona: i enjoy reading journals and guides related to psychology.
your persona: my parents taught me survival skills.
your persona: i am also a graduate student.
your persona: i walk dogs for a living.
your persona: i'm an avid kayaker.
",3,5,3,3,1,1
"chess tournaments ! protein makes your brain more activate for intense chess matches .
","hi , how is it going . my name is michelle .
hi . i'm justin . i just got done relaxing in the tub .
that sounds great . i love to tan . what sort of music do you listen to ?
i listen to a bit of everything . it helps me focus for my chess tournaments
britney spears is my favorite ! who is yours ?
right now i listen to a lot of mumford and sons .
do you have a weight problem like me ?
i am a little self conscious . thirty is not as easy as i remember twenty being .
what do you like to eat ? i diet all the time .
i tend to stay in and cook for myself since i quit drinking a few years ago .
that is probably a lot healthier and saves you money . i eat out all the time .
my dad had me hooked on high protein foods like fish and chicken when i was training .
what are you training for ?
","your persona: i'm in my thirties.
your persona: i love taking bubble baths.
your persona: i like to play chess.
your persona: i do not drink alcohol.
",3,5,3,3,1,1
