output,grammaticality
The sailors rode the breeze clear of the rocks.,Yes
The weights made the rope stretch over the pulley.,Yes
The mechanical doll wriggled itself loose.,Yes
"If you had eaten more, you would want less.",Yes
"As you eat the most, you want the least.",No
"The more you would want, the less you would eat.",No
"I demand that the more John eat, the more he pays.",No
"Mary listens to the Grateful Dead, she gets depressed.",Yes
"The angrier Mary got, the more she looked at pictures.",Yes
"The higher the stakes, the lower his expectations are.",Yes
"The more Fred is obnoxious, the less attention you should pay to him.",Yes
John was lots more obnoxious than Fred.,Yes
"The more people you give beer to, the more people get sick.",Yes
"The more does Bill smoke, the more Susan hates him.",No
"The more pictures of him that appear in the news, the more embarrassed John becomes.",Yes
"Every senator seems to become more corrupt, as he talks to more lobbyists.",Yes
Who does John visit Sally because he likes?,No
Marianne did not leave.,Yes
He could not have been working.,Yes
He can not have been working.,Yes
You will believe Bob.,Yes
John has not kissed Mary.,Yes
I said that never in my life had I seen a place like Bangor.,Yes
Mickey looked up it.,No
There tended to be a lot of discussion.,Yes
John tried to be a good boy.,Yes
John is eager.,Yes
We want John to win.,Yes
The box contained the ball from the tree.,No
The tube was escaped by gas.,No
Water bubbled up out of the kettle.,Yes
The tub leaked water.,Yes
What the water did to the bottle was fill it.,No
What the water did to the whole bottle was fill it.,No
The tank leaked the fluid free.,Yes
John lay the ball in the box.,Yes
John owns the book.,Yes
We persuaded Mary to leave and Sue to stay.,Yes
"Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.",Yes
Mary beautifully plays the violin.,No
"Clearly, John probably will immediately learn French perfectly.",Yes
Sue gave to Bill a book.,No
The men will all leave.,Yes
John went home.,Yes
They represented seriously to the dean Mary as a genuine linguist.,No
Us love they.,No
It is nice to go abroad.,Yes
Mary intended John to go abroad.,No
I remembered having kissed Mary.,Yes
"I can't believe Fred won't, either.",Yes
"John wants to read Fred's story, and I also want to.",Yes
"We wanted to invite someone, but we couldn't decide who to.",No
"Mary will read Fred's story, and Joe will read Holly's.",Yes
"Mary claimed that eating cabbage, Holly shouldn't.",Yes
Mary came to be introduced by the bartender and I also came to be.,No
"If I can, I will work on it.",Yes
"Joe's neuroses bother his patrons, and Sally does too.",Yes
"I know which book José didn't read for class, and which book Lilly did it for him.",No
"This is the book which Bob reviewed, and this is the one which Fred won't do it.",No
"I know which book Mag read, and which book Bob said that you hadn't.",Yes
"I know which book Mag read, and which book Bob read my report that you hadn't.",No
I'm sure I would like him to eat fruit more than I would cookies.,Yes
Rusty talked about himself only after Mary did talk about him.,Yes
Fred talked about everything before Rusty did talk about something.,Yes
John often meets Mary.,Yes
The problem perceives easily.,No
A hundred men surrounded the fort.,Yes
We elected me.,Yes
Which report that John was incompetent did he submit?,No
Mary has always preferred lemons to limes.,Yes
He let the cats which were whining out.,Yes
What did Bill buy?,Yes
Mary saw the boy walking toward the railroad station.,Yes
A proof that the claim had been made was given that John had lied.,No
He attributed to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.,Yes
The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.,No
I want that Bill left to remain a secret.,No
I know a man who Tom drives as drives.,No
"Drowning cats, which is against the law, are hard to rescue.",No
Muriel said nothing else than that she had been insulted.,Yes
Himself is understood by Rutherford.,No
I feel that Arch will show up.,Yes
The proof this set is recursive is difficult.,No
The madrigals which Henry plays the lute and sings sound lousy.,No
"Tom picked these grapes, and I washed some turnips, and Suzie will prepare these grapes.",Yes
Where did you go and who ate what?,Yes
Which boy's did we elect guardian's employer president?,No
How sane is Peter?,Yes
I live at the place where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River too.,Yes
I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.,No
Who is she trying to make up to now?,Yes
Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam.,No
Mike talked about politics yesterday to my friends.,Yes
It was expected by the reporters that the principal would fire some teacher.,Yes
Which hat did Mike quip that she never wore?,No
Which girl did Mike quip never wore this hat?,No
We donated wire for the convicts to build cages with.,Yes
I won't have some money.,No
Do you believe the claim that somebody was looking for something?,Yes
I won't ask you to believe that he tried to force me to give her any money.,Yes
That Sam sometimes didn't sleep must have pleased somebody.,Yes
I talked to Winston about himself.,Yes
"That the fuzz wanted him worried John, but that the fuzz wanted her didn't worry Mary.",Yes
I'll work on it if Sam will be working on it.,Yes
I'll work on it if I can.,Yes
Here's a knife with which for you to cut up the onions.,No
"Fluffy is sick, which not everybody knows.",Yes
Maxwell is quite a doctor.,Yes
"The younger woman might have been tall and, and the older one definitely was, blond.",No
"Sally is tall, and may be blond, and Sheila is short, and definitely is, blond.",Yes
I have to try to finish grading some papers.,Yes
The socks are ready for for you to put on to be planned.,No
It is easy to play sonatas on this violin.,Yes
This violin is difficult to play sonatas on.,Yes
My mother is easy to please my father and.,No
"Poor Bill, it had started to rain and he had no umbrella.",Yes
"That the cops spoke to the janitor about it yesterday is terrible, that robbery.",No
"Every student, and he wears socks, is a swinger.",No
That girl was given my binoculars by him.,Yes
Bill didn't allege that Roger had eaten anything.,Yes
Nobody who hates to eat anything should work in a delicatessen.,Yes
Everybody around here who ever buys anything on credit talks in his sleep.,Yes
I can't remember the name of somebody who had misgivings.,No
"No writer, and no playwright, meets in Vienna.",No
